Marca;Producto;Peso (Ml);;Costo;Precio;Sexo;Tipo;Tester;Estuche
Banana Republic;"Banana Republic ""M"" Edt 125ml";125;;150.936;528.276;Hombre;EDT;;
Banana Republic;"Banana Republic ""W"" Edp 125ml";125;;159.326;557.641;Mujer;EDP;;
Banana Republic;Modern Woman Edp 100ml;100;;167.716;587.006;Mujer;EDP;;
Bebe;Bebe Glam 24 Karat Edp 100ml;100;;117.376;410.816;Mujer;EDP;;
Bebe;Bebe Glam Platimum Edp 100ml;100;;117.376;410.816;Mujer;EDP;;
Benetton;Be Strong Edt 100ml;100;;100.596;352.086;Hombre;EDT;;
Benetton;Be Strong Tester Edt 100ml;100;;92.206;322.721;Hombre;EDT;Tester;
Benetton;Benetton Cold Edt 100ml;100;;50.256;175.896;Hombre;EDT;;
Benetton;Benetton Colors Green Estuche Edt 100ml+Desdodorante 150ml;100 + 150;;117.376;410.816;Hombre;DESDODORANTE;;Estuche
Benetton;Benetton Colors Green Hombre Estuche Edt 100ml+Af.Shave Balm 75ml;100 + 75;;108.986;381.451;Hombre;BALM;;Estuche
Benetton;Benetton Colors Man Black Edt 100ml;100;;88.011;308.039;Hombre;EDT;;
Benetton;Benetton Colors Man Blue Edt 100ml;100;;88.011;308.039;Hombre;EDT;;
Benetton;Benetton Colors Man Green Edt 100ml;100;;92.206;322.721;Hombre;EDT;;
Benetton;Benetton Man Green Desodorante 150ml;150;;37.671;131.849;Hombre;DESODORANTE;;
Benetton;Benetton United Aim High Desodorante 150ml;150;;37.671;131.849;Hombre;DESODORANTE;;
Benetton;Benetton United Aim High Edt 100ml;100;;100.596;352.086;Hombre;EDT;;
